집계구코드,net_node,classic_stops,thermal_stops,tarr
1104072010502,3848968218,53,11,79.25
1104072020005,3849035213,44,12,72.73
1104072020002,8213963905,14,8,42.86
1104072020003,3849035302,45,5,88.89
1104072020001,3849034901,40,10,75.0
1104072020103,8213964138,32,11,65.62
1104072020101,8213963875,39,11,71.79
1104072020106,8213963933,23,9,60.87
1104072020107,8213963917,15,8,46.67
1104072020104,8213963906,13,7,46.15
1104072020105,8213963921,19,8,57.89
1104072020102,8213963941,24,9,62.5
1104072020201,8213964282,35,7,80.0
1104072020402,8212389294,41,10,75.61
1104072020403,8481463893,25,10,60.0
1104072020401,8481463891,22,9,59.09
1104072020404,8481463893,25,10,60.0
1104073020002,12891901366,5,3,40.0
1104073020003,3807095992,5,3,40.0
1104073020102,12891901366,5,3,40.0
1104073020103,12891901366,5,3,40.0
1104073020101,12891901366,5,3,40.0
1104073020202,12891901366,5,3,40.0
1104073020203,12891901366,5,3,40.0
1104073020201,12891901366,5,3,40.0
1104073020606,3807096046,7,3,57.14
1104073020607,3807095992,5,3,40.0
1104073020604,5573158008,7,3,57.14
1104073020605,3807095992,5,3,40.0
1104073020602,5573158008,7,3,57.14
1104073020603,3807095992,5,3,40.0
1104073020601,3807096046,7,3,57.14
1104073020608,12891901352,5,3,40.0
1104073020609,3807095992,5,3,40.0
1104073030003,12891901366,5,3,40.0
1104073030002,3807095982,5,0,100.0
1104073030001,3807095982,5,0,100.0
1104073030203,12891901366,5,3,40.0
1104073030202,12891901366,5,3,40.0
1104073030201,12891901366,5,3,40.0
1104073030306,12891901366,5,3,40.0
1104073030305,12891901366,5,3,40.0
1104073030304,3807095992,5,3,40.0
1104073030303,12891901366,5,3,40.0
1104073030302,12891901366,5,3,40.0
1104073030301,12891901366,5,3,40.0
1104073030307,3807095992,5,3,40.0
1104073030604,3807095982,5,0,100.0
1104073030603,3807095897,9,3,66.67
1104073030602,3807095897,9,3,66.67
1104073030601,3807095897,9,3,66.67
1104073040001,9577131727,0,0,0.0
1104073040201,3807095897,9,3,66.67
1104073040202,3807095897,9,3,66.67
1104073040301,3807095897,9,3,66.67
1104073040302,3807095971,16,3,81.25
1104073040303,3807095954,10,3,70.0
1104073040501,3807095897,9,3,66.67
1104073040502,3807095897,9,3,66.67
1104059030206,8214316953,29,16,44.83
1104072020405,3849146224,14,1,92.86
1104073020204,12891901353,5,3,40.0
