집계구코드,residential_pop,lon,lat,a_classic,a_thermal_h10,a_thermal_h13,a_thermal_h14,aal_h10,tarr_h10,aal_h13,tarr_h13,aal_h14,tarr_h14,category
1104056030108,1210.9,127.03632137244642,37.55480877000216,262.7869,262.7869,146.142,67.6541,0.0,0.0,116.6449,44.39,195.1328,74.26,thermal_robust
1104056030107,32.8,127.0373498188412,37.55420509504347,249.3212,249.3212,134.9713,61.565,0.0,0.0,114.3499,45.86,187.7562,75.31,thermal_robust
1104056030106,34.3,127.03591127017282,37.55607338560722,258.1154,258.1154,156.1055,63.9877,0.0,0.0,102.0099,39.52,194.1277,75.21,thermal_robust
1104056030105,861.3,127.03482208221064,37.555016978934354,272.4555,272.4555,157.2146,70.9301,0.0,0.0,115.2409,42.3,201.5254,73.97,thermal_robust
1104056030104,58.2,127.03589525045469,37.55533066581215,269.6873,269.6873,159.0323,68.0352,0.0,0.0,110.655,41.03,201.6521,74.77,thermal_robust
1104056030103,47.3,127.03512030347372,37.55573684250681,259.445,259.445,161.9776,67.4238,0.0,0.0,97.4674,37.57,192.0212,74.01,thermal_robust
1104056030102,1568.9,127.03711267644948,37.555243460057824,229.0581,229.0581,133.6907,57.9744,0.0,0.0,95.3674,41.63,171.0837,74.69,thermal_robust
1104056030101,290.1,127.03674274606496,37.554533904900566,232.4569,232.4569,133.3105,57.8548,0.0,0.0,99.1464,42.65,174.6021,75.11,thermal_robust
1104057010001,758.7,127.03019089858462,37.55851497219054,255.0339,255.0339,182.7505,0.0,0.0,0.0,72.2834,28.34,255.0339,100.0,thermal_prone
1104057010003,285.7,127.02991479656365,37.560010260467024,239.1047,239.1047,181.0663,59.2412,0.0,0.0,58.0384,24.27,179.8635,75.22,thermal_robust
1104057010002,947.4,127.02931194045476,37.55947418755024,246.1307,246.1307,186.6866,33.6143,0.0,0.0,59.4441,24.15,212.5164,86.34,moderate
1104057010115,491.6,127.0250367546232,37.55771670663545,242.4396,242.4396,172.5394,44.2901,0.0,0.0,69.9002,28.83,198.1495,81.73,moderate
1104057010114,689.6,127.02651783759828,37.55831186142298,246.8736,246.8736,186.1217,50.5477,0.0,0.0,60.7519,24.61,196.3259,79.52,thermal_robust
1104057010117,149.9,127.02728548020136,37.558426422435154,232.1554,232.1554,164.324,48.0289,0.0,0.0,67.8314,29.22,184.1265,79.31,thermal_robust
1104057010116,415.8,127.02618919783724,37.55759921488106,231.611,231.611,167.3937,42.7062,0.0,0.0,64.2173,27.73,188.9048,81.56,moderate
1104057010101,794.0,127.0285506819385,37.55830149591259,232.6893,232.6893,162.5665,49.4828,0.0,0.0,70.1228,30.14,183.2065,78.73,thermal_robust
1104057010103,413.8,127.02583942506438,37.55802785673343,244.2619,244.2619,173.6242,44.6358,0.0,0.0,70.6377,28.92,199.6261,81.73,moderate
1104057010102,1295.4,127.0287037440166,37.55760436536085,245.4251,245.4251,185.7097,55.2769,0.0,0.0,59.7154,24.33,190.1482,77.48,thermal_robust
1104057010105,374.9,127.0264022458408,37.55624558229662,242.2279,242.2279,170.4036,49.5855,0.0,0.0,71.8243,29.65,192.6424,79.53,thermal_robust
1104057010104,212.3,127.02786227401492,37.55938142739309,232.1286,232.1286,180.0923,44.5324,0.0,0.0,52.0363,22.42,187.5962,80.82,moderate
1104057010107,536.5,127.02545068037529,37.55727177949348,242.4396,242.4396,172.5394,44.2901,0.0,0.0,69.9002,28.83,198.1495,81.73,moderate
1104057010106,836.4,127.02834265778772,37.55991316752317,229.1654,229.1654,181.4804,42.4923,0.0,0.0,47.685,20.81,186.6731,81.46,moderate
1104057010119,38.3,127.02745120637135,37.55680101697395,248.4612,248.4612,176.9832,55.1041,0.0,0.0,71.478,28.77,193.3571,77.82,thermal_robust
1104057010118,307.9,127.02832234803786,37.558870332695335,227.0573,227.0573,160.8341,47.7156,0.0,0.0,66.2232,29.17,179.3417,78.99,thermal_robust
1104057010108,786.7,127.02560158256632,37.55663201342095,231.5991,231.5991,166.6104,44.4628,0.0,0.0,64.9887,28.06,187.1363,80.8,moderate
1104057010109,117.2,127.0264141407192,37.55699221051535,232.1018,232.1018,167.4274,45.2806,0.0,0.0,64.6744,27.86,186.8212,80.49,moderate
1104057010111,24.6,127.02760655164624,37.55725288933834,255.9024,255.9024,186.0422,57.4418,0.0,0.0,69.8602,27.3,198.4606,77.55,thermal_robust
1104057010110,161.4,127.02526124974963,37.55602661299926,239.5579,239.5579,171.1925,47.6245,0.0,0.0,68.3654,28.54,191.9334,80.12,thermal_robust
1104057010113,118.3,127.02700606017348,37.5593217879346,237.6268,237.6268,187.4877,46.9605,0.0,0.0,50.1391,21.1,190.6663,80.24,moderate
1104057010112,940.5,127.02737981335709,37.5577714307154,247.4151,247.4151,179.0029,55.4439,0.0,0.0,68.4122,27.65,191.9712,77.59,thermal_robust
1104057010201,591.9,127.02980227869452,37.55861817065451,226.5781,226.5781,160.4648,47.7875,0.0,0.0,66.1133,29.18,178.7906,78.91,thermal_robust
