집계구코드,residential_pop,lon,lat,n_classic_stops,n_thermal_stops,a_classic,a_thermal,aal,tarr,category
1104057020312,474.1,127.02659683015108,37.555546906391534,278,205,227.6247,166.7532,60.8715,26.74,thermal_robust
1104057020313,244.4,127.02587613753164,37.55549857940326,279,207,229.8366,169.147,60.6896,26.41,thermal_robust
1104057020314,750.6,127.0294306315453,37.55701865058805,297,229,242.5675,183.1893,59.3782,24.48,thermal_robust
1104057020315,939.4,127.02970062392036,37.55546717273008,292,233,243.7308,189.9943,53.7365,22.05,thermal_robust
1104057020308,538.3,127.02952028758604,37.55646956038131,297,229,242.5675,183.1893,59.3782,24.48,thermal_robust
1104057020309,330.5,127.02771619409744,37.55497657788918,285,225,235.9299,182.4397,53.4902,22.67,thermal_robust
1104057020310,615.7,127.02721129279954,37.55559984239406,284,206,233.3621,168.1773,65.1848,27.93,moderate
1104057020311,1.2,127.02800420862803,37.55633152558329,294,224,243.1112,181.5655,61.5457,25.32,thermal_robust
1104057020403,45.8,127.03187561667382,37.55687369053027,300,225,247.4425,180.7931,66.6494,26.94,thermal_robust
1104057020401,10.1,127.03223057037968,37.55652261774424,310,205,256.1781,171.0698,85.1083,33.22,moderate
1104057020402,149.5,127.03122306151133,37.55665249811852,300,225,247.4425,180.7931,66.6494,26.94,thermal_robust
1104058010001,192.6,127.03734769296923,37.551446205388245,202,0,151.8608,0.0,151.8608,100.0,thermal_prone
1104058010106,308.5,127.03572305954604,37.55424669730447,320,172,256.0227,136.7619,119.2608,46.58,thermal_prone
1104058010101,321.3,127.03498202710225,37.553587319156755,308,165,242.8617,128.995,113.8667,46.89,thermal_prone
1104058010103,535.6,127.03549692396533,37.55298835781499,308,161,242.5551,124.3213,118.2338,48.75,thermal_prone
1104058010102,670.4,127.0357249208022,37.552492748551515,337,164,270.1103,127.8153,142.295,52.68,thermal_prone
1104058010105,413.2,127.03646918161728,37.55340029045741,313,163,247.7992,126.4087,121.3905,48.99,thermal_prone
1104058010104,343.0,127.03503684957307,37.55439504466657,309,165,245.1209,130.2013,114.9196,46.88,thermal_prone
1104058010107,582.9,127.03597465814111,37.55374365088171,308,158,242.3393,122.0773,120.262,49.63,thermal_prone
1104058010201,2.4,127.0377777814603,37.55312982280734,322,169,257.5114,133.7136,123.7978,48.07,thermal_prone
1104058010202,3.2,127.03707560688532,37.55310616820124,320,167,255.6979,132.1809,123.517,48.31,thermal_prone
1104058020004,8.8,127.02989704350912,37.55343185909637,304,212,251.6381,167.7245,83.9136,33.35,moderate
1104058020005,216.0,127.0311962606756,37.55271679883642,316,212,260.1843,167.8716,92.3127,35.48,moderate
1104058020002,1077.9,127.02957376406096,37.552331389440944,307,211,252.7214,166.8122,85.9092,33.99,moderate
