집계구코드,tarr_35c,tarr_38c,tarr_41c
1104062010002,100.0,100.0,0.0
1104062010004,100.0,100.0,0.0
1104062010101,100.0,100.0,0.0
1104062020002,100.0,100.0,0.0
1104062020001,100.0,100.0,0.0
1104062020201,100.0,99.36,0.0
1104062030003,100.0,97.74,0.0
1104062030002,100.0,100.0,0.0
1104062030001,100.0,100.0,0.0
1104062030109,100.0,97.72,0.0
1104062030108,100.0,97.74,0.0
1104062030107,99.53,97.65,0.0
1104062030106,99.02,99.02,0.0
1104062030105,100.0,96.77,0.0
1104062030104,99.49,97.48,0.0
1104062030103,99.49,97.48,0.0
1104062030102,100.0,100.0,0.0
1104062030101,100.0,97.01,0.0
1104062030205,100.0,97.66,0.0
1104062030204,100.0,97.49,0.0
1104062030203,100.0,97.58,0.0
1104062030202,100.0,100.0,0.0
1104062030201,100.0,97.5,0.0
1104062030303,100.0,97.69,0.0
1104062030302,100.0,97.72,0.0
1104062030301,100.0,97.81,0.0
1104065010001,100.0,81.77,0.0
1104065010002,99.11,97.32,0.0
1104065010101,100.0,72.84,0.0
1104065010201,99.0,77.13,0.0
1104065020004,100.0,97.84,0.0
1104065020002,100.0,97.49,0.0
1104065020003,100.0,97.43,0.0
1104065020001,100.0,80.23,0.0
1104065020101,100.0,97.5,0.0
1104065020201,100.0,77.22,0.0
1104065020202,100.0,78.06,0.0
1104065020302,100.0,97.52,0.0
1104065020301,100.0,99.12,0.0
1104065030006,100.0,100.0,0.0
1104065030005,100.0,100.0,0.0
1104065030004,100.0,100.0,0.0
1104065030003,100.0,100.0,0.0
1104065030002,100.0,100.0,0.0
1104065030001,100.0,100.0,0.0
1104065030101,100.0,100.0,0.0
1104065030201,100.0,100.0,0.0
1104065040004,100.0,100.0,0.0
1104065040005,100.0,99.2,0.0
1104065040001,100.0,100.0,0.0
1104065040002,100.0,100.0,0.0
1104065040003,100.0,100.0,0.0
1104065040101,100.0,100.0,0.0
1104065040102,100.0,99.04,0.0
1104065040103,100.0,99.2,0.0
1104065040201,98.37,97.56,0.0
1104065040202,100.0,99.2,0.0
1104066010003,100.0,84.36,0.0
1104066010002,100.0,79.38,0.0
1104066010005,100.0,78.68,0.0
1104066010004,100.0,72.28,0.0
1104066010007,100.0,80.63,0.0
1104066010006,100.0,69.69,0.0
1104066010009,100.0,83.31,0.0
1104066010008,100.0,75.51,0.0
1104066010010,100.0,81.56,0.0
1104066010001,100.0,99.5,0.0
1104066010104,100.0,80.64,0.0
1104066010101,100.0,78.63,0.0
1104066010103,100.0,81.56,0.0
1104066010102,100.0,78.89,0.0
1104066010201,100.0,69.06,0.0
1104066010202,100.0,69.86,0.0
1104066010401,100.0,77.88,0.0
1104066010402,100.0,79.65,0.0
1104066010501,100.0,73.37,0.0
1104066010601,100.0,75.1,0.0
1104066020006,100.0,100.0,0.0
1104066020007,100.0,100.0,0.0
1104066020004,100.0,100.0,0.0
1104066020005,100.0,100.0,0.0
1104066020002,100.0,100.0,0.0
1104066020003,100.0,100.0,0.0
1104066020001,100.0,100.0,0.0
1104066020008,100.0,100.0,0.0
1104066020101,100.0,100.0,0.0
1104066030002,100.0,82.88,0.0
1104066030001,100.0,70.42,0.0
1104066030101,100.0,75.72,0.0
1104067010001,99.0,57.22,0.0
1104067010003,100.0,56.22,0.0
1104067010002,100.0,62.8,0.0
1104067010101,100.0,70.87,0.0
1104067010102,97.97,66.97,0.0
