u,v,svf,mean_bld_H,road_W,HW_ratio,canopy_ratio,highway
732065742,2140345666,1.0,0.0,10.0,0.0,0.0298,"['trunk_link', 'trunk']"
732065742,732065785,1.0,0.0,24.0,0.0,0.0,trunk
732065962,732244289,1.0,0.0,10.0,0.0,0.0,trunk_link
732065962,8952749236,1.0,0.0,10.0,0.0,0.0,trunk_link
732065986,8952749236,1.0,0.0,10.0,0.0,0.0,trunk_link
732066322,732247759,1.0,0.0,24.0,0.0,0.0,trunk
732066322,732241861,1.0,0.0,10.0,0.0,0.0055,trunk_link
732241218,9596306892,1.0,0.0,12.0,0.0,0.0,secondary
732241218,3856575157,1.0,0.0,12.0,0.0,0.0097,secondary
732241218,5948948603,1.0,0.0,6.0,0.0,0.0,secondary_link
732241260,9596306897,1.0,0.0,12.0,0.0,0.0,secondary
732241260,7838649671,1.0,0.0,6.0,0.0,0.0,secondary_link
